quintil,t,SPX_ret,SPX_cumret,CMC200_ret,CMC200_cumret
3,97,0.004061,0.371634,0.004690,0.318294
3,98,0.018002,0.396326,0.030797,0.358893
3,99,-0.008355,0.384660,-0.019248,0.332737
3,100,0.017706,0.409177,0.030261,0.373068
3,101,-0.034197,0.360988,-0.080472,0.262575
3,102,-0.031911,0.317557,-0.079180,0.162604
3,103,0.003002,0.321513,0.005765,0.169306
3,104,0.014664,0.340892,0.025547,0.199179
3,105,0.003721,0.345881,0.007200,0.207813
3,106,-0.006525,0.337098,-0.014402,0.190419
3,107,0.004070,0.342541,0.006371,0.198003
3,108,-0.006470,0.333854,-0.015543,0.179382
3,109,0.045968,0.395169,0.105309,0.303582
3,110,0.003964,0.400700,0.004095,0.308920
3,111,-0.034095,0.352943,-0.081088,0.202782
3,112,0.003460,0.357624,0.003961,0.207547
3,113,0.045039,0.418769,0.104753,0.334041
3,114,0.017811,0.444039,0.031367,0.375885
3,115,0.018524,0.470787,0.032253,0.420262
3,116,0.003889,0.476507,0.001057,0.421764
3,117,0.018206,0.503388,0.031731,0.466878
3,118,0.018028,0.530490,0.031872,0.513630
3,119,-0.008474,0.517521,-0.021753,0.480704
3,120,0.004583,0.524477,0.000556,0.481527
3,121,0.016742,0.550000,0.029917,0.525850
3,122,0.044061,0.618294,0.102997,0.683007
3,123,-0.008939,0.603828,-0.020873,0.647879
3,124,0.044348,0.674955,0.102026,0.816005
3,125,0.003979,0.681619,-0.000868,0.814429
3,126,0.043924,0.755482,0.101250,0.998140
3,127,0.019049,0.788922,0.035144,1.068362
3,128,0.043364,0.866497,0.100362,1.275947
3,129,-0.039291,0.793161,-0.078855,1.096477
3,130,-0.008337,0.778211,-0.022962,1.048338
3,131,0.003772,0.784918,0.000084,1.048511
3,132,0.044499,0.864344,0.102920,1.259344
3,133,-0.008077,0.849286,-0.018669,1.217165
3,134,0.044404,0.931402,0.102461,1.444338
3,135,0.043701,1.015805,0.102013,1.693691
3,136,0.003555,1.022972,-0.001444,1.689801
3,137,0.043706,1.111387,0.100470,1.960046
3,138,-0.038769,1.029530,-0.079019,1.726146
3,139,-0.008195,1.012898,-0.022240,1.665518
3,140,0.003638,1.020221,0.000693,1.667366
3,141,0.015687,1.051913,0.028567,1.743566
3,142,0.044318,1.142850,0.103296,2.026964
3,143,-0.034129,1.069716,-0.081553,1.780107
3,144,0.017058,1.105022,0.029984,1.863466
3,145,0.044094,1.197841,0.103329,2.159344
3,146,0.018268,1.237990,0.032847,2.263119
3,147,0.003774,1.246438,0.000395,2.264410
3,148,-0.008695,1.226906,-0.021786,2.193290
3,149,0.017204,1.265218,0.030371,2.290273
3,150,-0.007574,1.248062,-0.019870,2.224894
3,151,-0.006984,1.232362,-0.018681,2.164651
3,152,0.004596,1.242622,0.003104,2.174473
3,153,0.016072,1.278665,0.028485,2.264899
3,154,-0.006950,1.262829,-0.017025,2.209315
3,155,-0.032411,1.189488,-0.080938,1.949559
3,156,-0.005657,1.177102,-0.014017,1.908216
3,157,0.015135,1.210053,0.026216,1.984459
3,158,-0.030152,1.143415,-0.082411,1.738507
3,159,-0.005472,1.131686,-0.011872,1.705995
3,160,-0.005289,1.120412,-0.011672,1.674411
3,161,0.003403,1.127627,0.008336,1.696706
3,162,-0.029876,1.064062,-0.082961,1.472984
3,163,-0.028686,1.004852,-0.081547,1.271320
4,1,-0.035844,-0.035844,-0.081172,-0.081172
4,2,0.048267,0.010693,0.102906,0.013381
4,3,-0.033192,-0.022854,-0.080822,-0.068522
4,4,-0.006743,-0.029442,-0.016502,-0.083893
4,5,-0.005988,-0.035253,-0.015096,-0.097723
